t	u
0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-02	3.090169943749473958e-01
2.000000000000000042e-02	5.877852522924731371e-01
2.999999999999999889e-02	8.090169943749474513e-01
4.000000000000000083e-02	9.510565162951535312e-01
5.000000000000000278e-02	1.000000000000000000e+00
5.999999999999999778e-02	9.510565162951536422e-01
7.000000000000000666e-02	8.090169943749474513e-01
8.000000000000000167e-02	5.877852522924732481e-01
8.999999999999999667e-02	3.090169943749475068e-01
1.000000000000000056e-01	1.224606353822377258e-16
1.100000000000000006e-01	-3.090169943749472847e-01
1.199999999999999956e-01	-5.877852522924730261e-01
1.300000000000000044e-01	-8.090169943749473402e-01
1.400000000000000133e-01	-9.510565162951535312e-01
1.499999999999999944e-01	-1.000000000000000000e+00
1.600000000000000033e-01	-9.510565162951536422e-01
1.700000000000000122e-01	-8.090169943749475623e-01
1.799999999999999933e-01	-5.877852522924733591e-01
1.900000000000000022e-01	-3.090169943749476178e-01
2.000000000000000111e-01	-2.449212707644754516e-16
2.099999999999999922e-01	3.090169943749471737e-01
2.200000000000000011e-01	5.877852522924729151e-01
2.300000000000000100e-01	8.090169943749472292e-01
2.399999999999999911e-01	9.510565162951535312e-01
2.500000000000000000e-01	1.000000000000000000e+00
2.600000000000000089e-01	9.510565162951536422e-01
2.700000000000000178e-01	8.090169943749476733e-01
2.800000000000000266e-01	5.877852522924733591e-01
2.899999999999999800e-01	3.090169943749477843e-01
2.999999999999999889e-01	3.673819061467131775e-16
3.099999999999999978e-01	-3.090169943749470627e-01
3.200000000000000067e-01	-5.877852522924728040e-01
3.300000000000000155e-01	-8.090169943749472292e-01
3.400000000000000244e-01	-9.510565162951534202e-01
3.500000000000000333e-01	-1.000000000000000000e+00
3.599999999999999867e-01	-9.510565162951537532e-01
3.699999999999999956e-01	-8.090169943749476733e-01
3.800000000000000044e-01	-5.877852522924734702e-01
3.900000000000000133e-01	-3.090169943749478954e-01
4.000000000000000222e-01	-4.898425415289509033e-16
4.100000000000000311e-01	3.090169943749486170e-01
4.199999999999999845e-01	5.877852522924726930e-01
4.299999999999999933e-01	8.090169943749471182e-01
4.400000000000000022e-01	9.510565162951534202e-01
4.500000000000000111e-01	1.000000000000000000e+00
4.600000000000000200e-01	9.510565162951537532e-01
4.700000000000000289e-01	8.090169943749466741e-01
4.799999999999999822e-01	5.877852522924735812e-01
4.899999999999999911e-01	3.090169943749480064e-01
5.000000000000000000e-01	6.123031769111886291e-16
5.100000000000000089e-01	-3.090169943749485060e-01
5.200000000000000178e-01	-5.877852522924725820e-01
5.300000000000000266e-01	-8.090169943749481174e-01
5.400000000000000355e-01	-9.510565162951534202e-01
5.500000000000000444e-01	-1.000000000000000000e+00
5.600000000000000533e-01	-9.510565162951537532e-01
5.700000000000000622e-01	-8.090169943749467851e-01
5.799999999999999600e-01	-5.877852522924736922e-01
5.899999999999999689e-01	-3.090169943749497827e-01
5.999999999999999778e-01	-7.347638122934263549e-16
6.099999999999999867e-01	3.090169943749450088e-01
6.199999999999999956e-01	5.877852522924724710e-01
6.300000000000000044e-01	8.090169943749480064e-01
6.400000000000000133e-01	9.510565162951533091e-01
6.500000000000000222e-01	1.000000000000000000e+00
6.600000000000000311e-01	9.510565162951538642e-01
6.700000000000000400e-01	8.090169943749468962e-01
6.800000000000000488e-01	5.877852522924738032e-01
6.900000000000000577e-01	3.090169943749465631e-01
7.000000000000000666e-01	-2.695489231124836849e-15
7.099999999999999645e-01	-3.090169943749448977e-01
7.199999999999999734e-01	-5.877852522924724710e-01
7.299999999999999822e-01	-8.090169943749458970e-01
7.399999999999999911e-01	-9.510565162951533091e-01
7.500000000000000000e-01	-1.000000000000000000e+00
7.600000000000000089e-01	-9.510565162951538642e-01
7.700000000000000178e-01	-8.090169943749468962e-01
7.800000000000000266e-01	-5.877852522924739143e-01
7.900000000000000355e-01	-3.090169943749466741e-01
8.000000000000000444e-01	-9.796850830579018066e-16
8.100000000000000533e-01	3.090169943749481729e-01
8.200000000000000622e-01	5.877852522924751355e-01
8.300000000000000711e-01	8.090169943749478954e-01
8.399999999999999689e-01	9.510565162951533091e-01
8.499999999999999778e-01	1.000000000000000000e+00
8.599999999999999867e-01	9.510565162951538642e-01
8.699999999999999956e-01	8.090169943749491166e-01
8.800000000000000044e-01	5.877852522924740253e-01
8.900000000000000133e-01	3.090169943749467851e-01
9.000000000000000222e-01	1.102145718440139532e-15
9.100000000000000311e-01	-3.090169943749480619e-01
9.200000000000000400e-01	-5.877852522924722489e-01
9.300000000000000488e-01	-8.090169943749477843e-01
9.400000000000000577e-01	-9.510565162951543083e-01
9.500000000000000666e-01	-1.000000000000000000e+00
9.599999999999999645e-01	-9.510565162951539753e-01
9.699999999999999734e-01	-8.090169943749491166e-01
9.799999999999999822e-01	-5.877852522924741363e-01
9.899999999999999911e-01	-3.090169943749502823e-01
