t	u
0	0
0.01	0.006346609218
0.02	0.02538388053
0.03	0.05708881086
0.04	0.1013720002
0.05	0.158001396
0.06	0.2264967674
0.07	0.3059974313
0.08	0.3951082783
0.09	0.4917329246
0.1	0.5929079291
0.11	0.6946583705
0.12	0.7919022459
0.13	0.8784382911
0.14	0.947057559
0.15	0.9898214419
0.16	0.9985452382
0.17	0.965513952
0.18	0.884432931
0.19	0.7515782084
0.2	0.5670598639
0.21	0.3360493932
0.22	0.06975647374
0.23	-0.2141154241
0.24	-0.4917329246
0.25	-0.7345917087
0.26	-0.9122501522
0.27	-0.9963317309
0.28	-0.965513952
0.29	-0.810878152
0.3	-0.5406408175
0.31	-0.1830155151
0.32	0.2141154241
0.33	0.5877852523
0.34	0.8691812667
0.35	0.996854776
0.36	0.9318640292
0.37	0.6714854741
0.38	0.2572861212
0.39	-0.2264967674
0.4	-0.6667690005
0.41	-0.947057559
0.42	-0.9800825611
0.43	-0.7388831481
0.44	-0.2756373558
0.45	0.2817325568
0.46	0.7598904988
0.47	0.9931150019
0.48	0.884432931
0.49	0.4525762018
0.5	-0.158001396
0.51	-0.7171318048
0.52	-0.9931150019
0.53	-0.8530544106
0.54	-0.3360493932
0.55	0.3420201433
0.56	0.8691812667
0.57	0.9800825611
0.58	0.5980067236
0.59	-0.1013720002
0.6	-0.7557495744
0.61	-0.9985452382
0.62	-0.6714854741
0.63	0.05708881086
0.64	0.7598904988
0.65	0.9938384645
0.66	0.5877852523
0.67	-0.2141154241
0.68	-0.8784382911
0.69	-0.9318640292
0.7	-0.3120334457
0.71	0.5459690364
0.72	0.9963317309
0.73	0.6714854741
0.74	-0.1954793506
0.75	-0.9096319954
0.76	-0.8628346575
0.77	-0.06975647374
0.78	0.7919022459
0.79	0.9429060139
0.8	0.2203105328
0.81	-0.7171318048
0.82	-0.965513952
0.83	-0.2572861212
0.84	0.7171318048
0.85	0.9549022414
0.86	0.1830155151
0.87	-0.7919022459
0.88	-0.8987940463
0.89	0.006346609218
0.9	0.9096319954
0.91	0.7515782084
0.92	-0.3059974313
0.93	-0.9963317309
0.94	-0.4525762018
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
